Quote,Author
"“But remember, boy, that a kind act can sometimes be as powerful as a sword.”",Rick Riordan
"“The strongest people find the courage and caring to help others, even if they are going through their own storm.”",Roy T. Bennett
“Those who bring sunshine to the lives of others cannot keep it from themselves.”,J.M. Barrie
“The surest way to make your dreams come true is to live them.”,Roy T. Bennett
“Don't ever take a fence down until you know why it was put up.”,Robert Frost
“What a large volume of adventures may be grasped within the span of his little life by him who interests his heart in everything.”,Laurence Sterne
“Getting something and having the wits to use it...those are two different things.”,Rick Riordan
“You will never be able to escape from your heart. So it's better to listen to what it has to say.”,Paulo Coelho
"“If you are lazy, and accept your lot, you may live in it. If you are willing to work, you can write your name anywhere you choose.”",Gene Stratton-Porter
“People don't realize how a man's whole life can be changed by one book.”,Malcolm X
"“Be melting snow.
Wash yourself of yourself.”",Rumi
“Nothing can disturb your peace of mind unless you allow it to.”,Roy T. Bennett
"“We come spinning out of nothingness, scattering stars like dust.”",Rumi
“One must still have chaos in oneself to be able to give birth to a dancing star.”,Friedrich Nietzsche
“Kindness is not a business. True kindness expects nothing in return and should never act with conditions.”,Roy T. Bennett
“الإكتشاف ليس أن تجد أرضاً جديدة .. وإنما أن ترى بعيون جديدة”,أنيس منصور
"“Of all creatures that breathe and move upon the earth, nothing is bred that is weaker than man.”",Homer
"“To have what you have never had, you have to do what you have never done.”",Roy T. Bennett
"“If you hang out with chickens, you're going to cluck and if you hang out with eagles, you're going to fly.”",Steve Maraboli
“Government exists to protect us from each other. Where government has gone beyond its limits is in deciding to protect us from ourselves.”,Ronald Reagan
"“I never said it would be easy, I only said it would be worth it.”",Mae West
“The power of finding beauty in the humblest things makes home happy and life lovely.”,Louisa May Alcott
“Every blessing ignored becomes a curse.”,Paulo Coelho
“Never dull your shine for somebody else.”,Tyra Banks
“The rights of every man are diminished when the rights of one man are threatened.”,John F. Kennedy
"“We’re here, and then we’re gone, and it’s not about the time we’re here, but what we do with the time.”",Rick Yancey
“How far that little candle throws his beams! So shines a good deed in a weary world.”,William Shakespeare
"“A smile puts you on the right track. A smile makes the world a beautiful place. When you lose your smile, you lose your way in the chaos of life.”",Roy T. Bennett
"“Courage is feeling fear, not getting rid of fear, and taking action in the face of fear.”",Roy T. Bennett
“There's more to life than dating the boy on the football team.”,Taylor Swift
“Everything's a risk. Not doing anything is a risk. It's up to you.”,Nicola Yoon
"“With all its sham, drudgery, and broken dreams,
it is still a beautiful world.
Be cheerful.
Strive to be happy.”",Max Ehrmann
"“Dare to love yourself
as if you were a rainbow
with gold at both ends.”",Author-Poet Aberjhani
"“No! Try not. Do, or do not. There is no try.”",George Lucas
"“you
not wanting me
was
the beginning of me
wanting myself
thank you”",Nayyirah Waheed
"“Behind every trial and sorrow that He makes us shoulder, God has a reason.”",Khaled Hosseini
"“If you're horrible to me, I'm going to write a song about it, and you won't like it. That's how I operate.”",Taylor Swift
“Shallow men believe in luck or in circumstance. Strong men believe in cause and effect.”,Ralph Waldo Emerson
"“Oh, what a tangled web we weave...when first we practice to deceive.”",Walter Scott
“I have a dream that one day little black boys and girls will be holding hands with little white boys and girls.”,Martin Luther King Jr.
"“It was always the becoming he dreamed of, never the being.”",F. Scott Fitzgerald
"“Life was meant to be lived, and curiosity must be kept alive. One must never, for whatever reason, turn his back on life.”",Eleanor Roosevelt
“People say that eyes are windows to the soul.”,Khaled Hosseini
"“There is no happiness like that of being loved by your fellow creatures, and feeling that your presence is an addition to their comfort.”",Charlotte Brontë
"“No act of kindness, no matter how small, is ever wasted.”",Aesop
"“Whenever something bad happens, keep calm, take a few deep breaths and shift the focus to something positive.”",Roy T. Bennett
“It's the children the world almost breaks who grow up to save it.”,Frank Warren
“We must live together as brothers or perish together as fools.”,Martin Luther King Jr.
“I do not care so much what I am to others as I care what I am to myself.”,Michel de Montaigne
“Guard well your thoughts when alone and your words when accompanied.”,Roy T. Bennett
"“You cannot change anyone, but you can be the reason someone changes.”",Roy T. Bennett
“You are in charge of your own happiness; you don't need to wait for other people's permission to be happy.”,Roy T. Bennett
“Things do not change; we change.”,henry david thoreau
"“do not look for healing
at the feet of those
who broke you”",Rupi Kaur
“If you have good thoughts they will shine out of your face like sunbeams and you will always look lovely.”,Roald Dahl
“The love that moves the sun and the other stars.”,Elizabeth Gilbert
"“What you are is God's gift to you, what you become is your gift to God.”",Hans Urs von Balthasar
“Only those who attempt the absurd can achieve the impossible.”,Albert Einstein
"“A dream is a wish your heart makes, when you're fast asleep.”",Walt Disney Company
"“Amor Fati – “Love Your Fate”, which is in fact your life.”",Friedrich Nietzsche
“The dog is a gentleman; I hope to go to his heaven not man's.”,Mark Twain
"“Certain thoughts are prayers. There are moments when, whatever be the attitude of the body, the soul is on its knees.”",Victor Hugo
“Let me never fall into the vulgar mistake of dreaming that I am persecuted whenever I am contradicted.”,Ralph Waldo Emerson
“The best discoveries always happened to the people who weren't looking for them.”,Morgan Matson
“Fake it 'till you make it.”,Gayle Forman
“Being grateful does not mean that everything is necessarily good. It just means that you can accept it as a gift.”,Roy T. Bennett
"“No matter who you are, no matter what you did, no matter where you've come from, you can always change, become a better version of yourself.”",Madonna
“But life is a battle: may we all be enabled to fight it well!”,Charlotte Brontë
"“Nothing is permanent in this wicked world, not even our troubles.”",Charlie Chaplin
“You may choose to look the other way but you can never say again that you did not know.”,William Wilberforce
"“Start a huge, foolish project, like Noah…it makes absolutely no difference what people think of you.”",Rumi
"“When you see a good person, think of becoming like her/him. When you see someone not so good, reflect on your own weak points.”",Confucius
"“No man chooses evil because it is evil; he only mistakes it for happiness, the good he seeks.”",Mary Shelley
"“You are, after all, what you think. Your emotions are the slaves to your thoughts, and you are the slave to your emotions.”",Elizabeth Gilbert
“I sustain myself with the love of family.”,Maya Angelou
“Attitude is a little thing that makes a big difference.”,Winston S. Churchill
"“Difficulties strengthen the mind, as labor does the body.”",Lucius Annaeus Seneca
"“I've had a lot of worries in my life, most of which never happened.”",Mark Twain
"“A hero is no braver than an ordinary man, but he is brave five minutes longer.”",Ralph Waldo Emerson
“You must take life the way it comes at you and make the best of it.”,Yann Martel
"“Remember that everyone you meet is afraid of something, loves something and has lost something.”",H. Jackson Brown
“The tears of the world are a constant quantity. For each one who begins to weep somewhere else another stops. The same is true of the laugh.”,Samuel Beckett
“Always bear in mind that your own resolution to succeed is more important than any one thing.”,Abraham Lincoln
"“We all need to be mocked from time to time, lest we take ourselves too seriously.”",George R.R. Martin
"“Great leaders create more leaders, not followers.”",Roy T. Bennett
"“Dripping water hollows out stone, not through force but through persistence.”",Ovid
“Art is the proper task of life. ”,Friedrich Nietzsche
"“I am seeking, I am striving, I am in it with all my heart.”",Vincent van Gogh
“The most important decision you make is to be in a good mood.”,Voltaire
"“Adapt what is useful, reject what is useless, and add what is specifically your own.”",Bruce Lee
"“Life is funny. Things change, people change, but you will always be you, so stay true to yourself and never sacrifice who you are for anyone.”",Zayn Malik
"“I heard a definition once: Happiness is health and a short memory! I wish I'd invented it, because it is very true.”",Audrey Hepburn
"“The universe is made of stories, not of atoms.”",Muriel Rukeyser
"“I want to live my life in such a way that when I get out of bed in the morning, the devil says, ""aw shit, he's up!”",Steve Maraboli
"“Without leaps of imagination or dreaming, we lose the excitement of possibilities. Dreaming, after all is a form of planning.”",Gloria Steinem
"“I trust that everything happens for a reason, even if we are not wise enough to see it.”",Oprah Winfrey
“All I can be is me- whoever that is. ”,Bob Dylan
“If you dont have any shadows you're not in the light”,Lady Gaga
"“You are not the victim of the world, but rather the master of your own destiny. It is your choices and decisions that determine your destiny.”",Roy T. Bennett
"“You are willing to die, you coward, but not to live.”",Herman Hesse
“To live is so startling it leaves little time for anything else.”,Emily Dickinson
"“In the end, you have to choose whether or not to trust someone.”",Sophie Kinsella
"“I read somewhere... how important it is in life not necessarily to be strong, but to feel strong... to measure yourself at least once.”",Jon Krakauer
"“Always have a willing hand to help someone, you might be the only one that does.”",Roy T. Bennett
"“Life doesn’t get easier or more forgiving, we get stronger and more resilient.”",Steve Maraboli
"“Real magic can never be made by offering someone else's liver. You must tear out your own, and not expect to get it back.”",Peter S. Beagle
"“If you start by promising what you don't even have yet, you'll lose your desire to work towards getting it.”",Paulo Coelho
“So many things are possible as long as you don't know they are impossible.”,Mildred D. Taylor
“You save yourself or you remain unsaved.”,Alice Sebold
“You're never given a dream without also being given the power to make it true.”,Richard Bach
“Well done is better than well said.”,Benjamin Franklin
“Music is the literature of the heart; it commences where speech ends.”,Alphonse de Lamartine
“I remembered the fox. One runs the risk of crying a bit if one allows oneself to be tamed.”,Antoine de Saint-Exupéry
"“I'll think of it tomorrow, at Tara. I can stand it then. Tomorrow, I'll think of some way to get him back. After all, tomorrow is another day.”",Margaret Mitchell
“There's nothing wrong with you. There's a lot wrong with the world you live in. And definitely get out of high school and make everyone sorry.”,Chris Colfer
"“My task, which I am trying to achieve is, by the power of the written word, to make you hear, to make you feel--it is, before all, to make you see.”",Joseph Conrad
"“But still, I find the need to remind myself of the temporariness of a day, to reassure myself that I got through yesterday, I'll get through today.”",Gayle Forman
"“Great things are not done by impulse, but by a series of small things brought together.”",Vincent Van Gogh
"“Not knowing you can't do something, is sometimes all it takes to do it.”",Ally Carter
"“Somehow, we'll find it. The balance between whom we wish to be and whom we need to be. But for now, we simply have to be satisfied with who we are.”",Brandon Sanderson
"“No life is a waste,"" the Blue Man said. ""The only time we waste is the time we spend thinking we're alone.”",Mitch Albom
“In the end you can't always choose what to keep. You can only choose how you let it go.”,Ally Condie
“A smart person knows how to talk. A wise person knows when to be silent.”,Roy T. Bennett
“Weekends don't count unless you spend them doing something completely pointless.”,Bill Watterson
“Remember tonight... for it is the beginning of always”,Dante
"“Write it. Shoot it. Publish it. Crochet it, sauté it, whatever. MAKE.”",Joss Whedon
"“The place to improve the world is first in one's own heart and head and hands, and then work outward from there.”",Robert M. Pirsig
“Only he who attempts the absurd is capable of achieving the impossible.”,Miguel de Unamuno
“It [feminism] is mixed up with a muddled idea that women are free when they serve their employers but slaves when they help their husbands.”,G.K. Chesterton
"“Everything will turn out right, the world is built on that.”",Mikhail Bulgakov
“When I was growing up I always wanted to be someone. Now I realize I should have been more specific.”,Lily Tomlin
“The stupid neither forgive nor forget; the naive forgive and forget; the wise forgive but do not forget.”,Thomas Szasz
“It's not enough to be nice in life. You've got to have nerve.”,Georgia O'Keeffe
"“Where your treasure is, there will your heart be also.”",Anonymous
"“Even if things don't unfold the way you expected, don't be disheartened or give up. One who continues to advance will win in the end.”",Daisaku Ikeda
"“That which God said to the rose, and caused it to laugh in full-blown beauty, He said to my heart, and made it a hundred times more beautiful.”",Rumi
“To the world you may be one person but to one person you may be the world.”,Bill Wilson
“Turn your obstacles into opportunities and your problems into possibilities.”,Roy T. Bennett
“My happiness is not the means to any end. It is the end. It is its own goal. It is its own purpose.”,Ayn Rand
“The first rule is to keep an untroubled spirit. The second is to look things in the face and know them for what they are.”,Marcus Aurelius
“Try again. Fail again. Fail better.”,Samuel Beckett
"“Keep your eyes on the stars, and your feet on the ground.”",Theodore Roosevelt
“You become what you think about all day long.”,Ralph Waldo Emerson
"“When you hold a grudge, you want someone else’s sorrow to reflect your level of hurt but the two rarely meet.”",Steve Maraboli
"“Never let hard lessons harden your heart; the hard lessons of life are meant to make you better, not bitter.”",Roy T. Bennett
"“Get up, stand up, Stand up for your rights. Get up, stand up, Don't give up the fight.”",Bob Marley
“You’re not obligated to win. You’re obligated to keep trying. To the best you can do everyday.”,Jason Mraz
"“My name is Celaena Sardothien,"" she whispered, ""and I will not be afraid.”",Sarah J. Maas
"“The three great essentials to achieve anything worthwhile are, first, hard work; second, stick-to-itiveness; third, common sense.”",Thomas A. Edison
“What is now proved was once only imagined.”,William Blake
"“If you don’t give up on something you truly believe in, you will find a way.”",Roy T. Bennett
"“I do not believe in taking the right decision, I take a decision and make it right.”",Muhammad Ali Jinnah
"“A rock pile ceases to be a rock pile the moment a single man contemplates it, bearing within him the image of a cathedral.”",Antoine de Saint-Exupery
"“Start by doing what is necessary, then what is possible, and suddenly you are doing the impossible.”",St. Francis Of Assisi
“Life's great happiness is to be convinced we are loved.”,Victor Hugo
“Be the positive impact on the lives of others.”,Roy T. Bennett
“Don't confuse poor decision-making with destiny. Own your mistakes. It’s ok; we all make them. Learn from them so they can empower you!”,Steve Maraboli
“Life is a gift. Don't forget to live it.”,Nicola Yoon
“Do not worry about your difficulties in Mathematics. I can assure you mine are still greater.”,Albert Einstein
"“I don't paint dreams or nightmares, I paint my own reality.”",Frida Kahlo
"“Keep a little fire burning; however small, however hidden.”",Cormac McCarthy
“Surround yourself only with people who are going to take you higher.”,Oprah Winfrey
"“Maktub"" (It is written.)”",Paulo Coelho
"“As is a tale, so is life: not how long it is, but how good it is, is what matters.”",Seneca
"“Envy is ignorance,
Imitation is Suicide.”",Ralph Waldo Emerson
"“Wasn't that the point of the book? For women to realize, We are just two people. Not that much separates us. Not nearly as much as I'd thought.”",Kathryn Stockett
“Discipline Your Mind to Think Positively: Discipline your mind to see the good in every situation and look on the best side of every event.”,Roy T. Bennett
“Though the road's been rocky it sure feels good to me.”,Bob Marley
“The place where you made your stand never mattered. Only that you were there...and still on your feet.”,Stephen King
"“The most important step a man can take. It's not the first one, is it?
It's the next one. Always the next step, Dalinar.”",Brandon Sanderson
“Life begins on the other side of despair.”,Jean-Paul Sartre
“The duty of youth is to challenge corruption.”,Kurt Cobain
“The greatest ideas are the simplest.”,William Golding
“I just hope I remember to tell my kids that they are as happy as I look in my old photographs. And I hope that they believe me.”,Stephen Chbosky
"“I am always doing what I cannot do yet, in order to learn how to do it.”",Vincent Van Gogh
"“Don’t only practice your art, but force your way into its secrets, for it and knowledge can raise men to the divine.”",Ludwig van Beethoven
“Sometimes I think my head is so big because it is so full of dreams”,R.J. Palacio
"“Instead of cursing the darkness, light a candle.”",Ben Franklin
“Heaven can be found in the most unlikely corners.”,Mitch Albom
"“Feet, what do I need them for
If I have wings to fly.”",Frida Kahlo
“the time is always right to do the right thing”,Martin Luther King Jr.
“Know thyself.”,Socrates
"“You can't become a decent horseman until you fall off and get up again, a good number of times.
There's life in a nutshell.”",Bear Grylls
"“Integrity is doing the right thing when nobody's watching, and doing as you say you would do.”",Roy T. Bennett
"“You don’t have to like someone, but you have to treat them as you wish to be treated.”",Roy T. Bennett
"“If you don't know who you truly are, you'll never know what you really want.”",Roy T. Bennett
"“I'm not saying I'm gonna change the world, but I guarantee that I will spark the brain that will change the world.”",Tupac Shakur
“There is no passion to be found playing small - in settling for a life that is less than the one you are capable of living.”,Nelson Mandela
"“We are saved by faith alone, but the faith that saves is never alone.”",Martin Luther
“You must find the place inside yourself where nothing is impossible.”,Deepak Chopra
“Dreams don't work unless you take action. The surest way to make your dreams come true is to live them.”,Roy T. Bennett
“They laugh at me because I'm different; I laugh at them because they're all the same.”,Kurt Cobain
“Happiness cannot be pursued; it must ensue.”,Viktor E. Frankl
“We cannot be sure of having something to live for unless we are willing to die for it.”,Che Guevara
"“The soul should always stand ajar, ready to welcome the ecstatic experience.”",Emily Dickinson
“What would you do if you weren't afraid?”,Sheryl Sandberg
"“I'm going to paraphrase Thoreau here... rather than love, than money, than faith, than fame, than fairness... give me truth. ”",Jon Krakauer
“Being happy doesn't mean that everything is perfect. It means that you've decided to look beyond the imperfections.”,Gerard Way
“Some things cannot be taught; they must be experienced. You never learn the most valuable lessons in life until you go through your own journey.”,Roy T. Bennett
"“Think, Believe, Dream, and Dare.”",Walt Disney
“When you look for a man- what you want to look for is a man with the heart of a poor boy and the mind of a conqueror.”,C. JoyBell C.
"“If my mind can conceive it, and my heart can believe it - then I can achieve it.”",Muhammad Ali
“It doesn’t matter how many times you get knocked down. All that matters is you get up one more time than you were knocked down.”,Roy T. Bennett
"“Failure is a bend in the road, not the end of the road. Learn from failure and keep moving forward.”",Roy T. Bennett
"“See, as much as you want to hold on to the bitter sore memory that someone has left this world, you are still in it”",Jodi Picoult
“Hate looks like everybody else until it smiles”,Tahereh Mafi
"“Darling, when things go wrong in life, you lift your chin, put on a ravishing smile, mix yourself a little cocktail...”",Sophie Kinsella
"“Never respond to an angry person with a fiery comeback, even if he deserves it...Don't allow his anger to become your anger.”",Bohdi Sanders
"“So early in my life, I had learned that if you want something, you had better make some noise.”",Malcolm X
"“When defeat comes, accept it as a signal that your plans are not sound, rebuild those plans, and set sail once more toward your coveted goal.”",Napoleon Hill
“Most of us must learn to love people and use things rather than loving things and using people.”,Roy T. Bennett
“Learning to distance yourself from all the negativity is one of the greatest lessons to achieve inner peace.”,Roy T. Bennett
"“I postpone death by living, by suffering, by error, by risking, by giving, by losing.”",anaïs nin
"“If we will be quiet and ready enough, we shall find compensation in every disappointment.”",Henry David Thoreau
“It is amazing what you can accomplish if you do not care who gets the credit.”,Harry S. Truman
"“I didn't come here of my own accord, and I can't leave that way.
Whoever brought me here will have to take me home.”",Rumi
"“Bermimpilah, karena Tuhan akan memeluk mimpi-mimpi itu.”",Andrea Hirata
"“The arc of the moral universe is long, but it bends towards justice.”",Theodore Parker
"“The truth knocks on the door and you say, ""Go away, I'm looking for the truth,"" and so it goes away. Puzzling.”",Robert M. Pirsig
“A creative life cannot be sustained by approval any more than it can be destroyed by criticism.”,Will Self
"“Congratulations!
Today is your day.
You're off to Great Places!
You're off and away!”",Dr. Seuss
"“And if my heart be scarred and burned,
The safer, I, for all I learned.”",Dorothy Parker
"“I hated every minute of training, but I said, 'Don't quit. Suffer now and live the rest of your life as a champion'.”",Muhammad Ali
"“Words save our lives, sometimes.”",Neil Gaiman
"“Talent is helpful in writing, but guts are absolutely essential.”",Jessamyn West
"“It is the possibility that keeps me going, and though you may call me a dreamer or a fool or any other thing, I believe that anything is possible.”",Nicholas Sparks
"“Focus on your goals, not your fear.
Focus like a laser beam on your goals.”",Roy T. Bennett
"“I've been lucky. Opportunities don't often come along. So, when they do, you have to grab them.”",Audrey Hepburn
"“Somebody has to start. Somebody has to step forward and do what is right, because it is right.”",Brandon Sanderson
“It takes sunshine and rain to make a rainbow. There would be no rainbows without sunshine and rain.”,Roy T. Bennett
“Do you really want to be happy? You can begin by being appreciative of who you are and what you've got.”,Benjamin Hoff
"“When one has a grateful heart, life is so beautiful.”",Roy T. Bennett
“We don't receive wisdom; we must discover it for ourselves after a journey that no one can take for us or spare us.”,Marcel Proust
"“Until you step into the unknown, you don’t know what you’re made of.”",Roy T. Bennett
“He who would learn to fly one day must first learn to walk and run and climb and dance; one cannot fly into flying. ”,Friedrich Nietzsche
“Re-examine all you have been told. Dismiss what insults your soul.”,Walt Whitman
“I would rather make mistakes in kindness and compassion than work miracles in unkindness and hardness.”,Mother Teresa
“I offer you peace. I offer you love. I offer you friendship. I see your beauty. I hear your need. I feel your feelings.”,Mahatma Gandhi
"“If you give up what you want most for what you think you should want more, you'll end up miserable.”",Brandon Sanderson
“Scars are just another kind of memory.”,M.L. Stedman
“I know because I read...Your mind is not a cage. It's a garden. And it requires cultivating.”,Libba Bray
“Men build too many walls and not enough bridges.”,Joseph Fort Newton
“The one who falls and gets up is stronger than the one who never tried. Do not fear failure but rather fear not trying.”,Roy T. Bennett
“What you stay focused on will grow.”,Roy T. Bennett
"“Hearing voices no one else can hear isn't a good sign, even in the wizarding world.”",J.K. Rowling
“All great achievements require time.”,Maya Angelou
“Don’t wait for things to happen. Make them happen.”,Roy T. Bennett
“Nothing makes a person happier than having a happy heart.”,Roy T. Bennett
“People have only as much liberty as they have the intelligence to want and the courage to take.”,Emma Goldman
“The place God calls you to is the place where your deep gladness and the world’s deep hunger meet.”,Frederick Buechner
"“It takes guts and humility to admit mistakes. Admitting we're wrong is courage, not weakness.”",Roy T. Bennett
"“I am always doing that which I can not do, in order that I may learn how to do it.”",Pablo Picasso
"“Knowing is not enough, we must apply. Willing is not enough, we must do.”",Johann Wolfgang von Goethe
"“Self-respect is the root of discipline: The sense of dignity grows
with the ability to say no to oneself.”",Abraham Joshua Heschel
“You get in life what you have the courage to ask for.”,Oprah Winfrey
"“If we all did the things we are really capable of doing, we would literally astound ourselves.”",Thomas A. Edison
"“If you haven’t the strength to impose your own terms upon life, then you must accept the terms it offers you.”",T.S. Eliot
"“Maybe this is why we read, and why in moments of darkness we return to books: to find words for what we already know.”",Alberto Manguel
“I don't fit into any stereotypes. And I like myself that way.”,C. JoyBell C.
"“Instead of committing suicide, people go to work.”",Thomas Bernhard
"“Before, I wanted to say: ""I found love!"" But now, I want to say: ""I found a person. And he belongs to me and I belong to him.”",C. JoyBell C.
"“Let us always meet each other with smile, for the smile is the beginning of love.”",Mother Teresa
“Don't live down to expectations. Go out there and do something remarkable.”,Wendy Wasserstein
“The only limits for tomorrow are the doubts we have today.”,Pittacus Lore
"“If we ever forget that we're one nation under God, then we will be one nation gone under.”",Ronald Reagan
"“Friendship with oneself is all important, because without it one cannot be friends with anyone else in the world.”",Eleanor Roosevelt
“Faith is the bird that feels the light and sings when the dawn is still dark.”,Rabindranath Tagore
“Your sacred space is where you can find yourself over and over again.”,Joseph Campbell
“Desperation is the raw material of drastic change. Only those who can leave behind everything they have ever believed in can hope to escape. ”,William S. Burroughs
“The beautiful journey of today can only begin when we learn to let go of yesterday.”,Steve Maraboli
"“...Next time you're faced with a choice, do the right thing. It hurts everyone less in the long run.”",Wendelin Van Draanen
"“The way I see it, if you want the rainbow, you gotta put up with the rain!”",Dolly Parton
"“It is truth that liberates, not your effort to be free.”",Jiddu Krishnamurti
“We should not judge people by their peak of excellence; but by the distance they have traveled from the point where they started.”,Henry Ward Beecher
"“God, grant me the serenity to accept the things I cannot change, the courage to change the things I can, and the wisdom to know the difference.”",Reinhold Niebuhr
“We can be beacons of light”,Aimee Cabo Nikolov
"“The butterfly counts not months but moments, and has time enough.”",Rabindranath Tagore
“No woman should be made to fear that she was not enough.”,Samantha Shannon
"“It is not a daily increase, but a daily decrease. Hack away at the inessentials.”",Bruce Lee
"“Challenge and adversity are meant to help you know who you are. Storms hit your weakness, but unlock your true strength.”",Roy T. Bennett
"“Nothing's perfect, the world's not perfect. But it's there for us, trying the best it can; that's what makes it so damn beautiful.”",Hiromu Arakawa
“Gratitude builds a bridge to abundance.”,Roy T. Bennett
"“You were put on this earth to achieve your greatest self, to live out your purpose, and to do it courageously.”",Steve Maraboli
“The universe doesn’t give you what you ask for with your thoughts - it gives you what you demand with your actions.”,Steve Maraboli
"“If a man is to shed the light of the sun upon other men, he must first of all have it within himself.”",Romain Rolland
“Employ your time in improving yourself by other men's writings so that you shall come easily by what others have labored hard for.”,Socrates
"“Step follows step,
Hope follows Courage,
Set your face towards danger,
Set your heart on victory.”",Gail Carson Levine
“Stop doing what is easy. Start doing what is right.”,Roy T. Bennett
“Ruin is a gift. Ruin is the road to transformation.”,Elizabeth Gilbert
“Done is better than perfect.”,Sheryl Sandberg
“It was like the beginning of life and laughter. It was the real meaning of the sun”,Charles Bukowski
"“To write well, express yourself like the common people, but think like a wise man.”",Aristotle
"“Don't wait for the right moment to start, start and make each moment right.”",Roy T. Bennett
“Do not dare not to dare.”,C.S. Lewis
“Good people see the good and bring out the best in other people.”,Roy T. Bennett
"“Enjoy every step you take. If you're curious, there is always something new to be discovered in the backdrop of your daily life.”",Roy T. Bennett
"“Love is the Answer, God is the Cure!”",Aimee Cabo Nikolov
"“Believe there is a great power silently working all things for good, behave yourself and never mind the rest.”",Beatrix Potter
“Stay hungry. Stay foolish.”,Steve Jobs
"“If you really want to do something, you'll find a way. If you don't, you'll find an excuse.”",Jim Rohn
“Good things happen in your life when you surround yourself with positive people.”,Roy T. Bennett
"“If you enter this world knowing you are loved and you leave this world knowing the same, then everything that happens in between can be dealt with.”",Michael Jackson
"“The minute I stopped trying to find the right girl, and started trying to become the right guy...the girl came.”",Jonathan Antin
“Education is teaching our children to desire the right things.”,Plato
“Do not let the roles you play in life make you forget who you are.”,Roy T. Bennett
“Reality is wrong. Dreams are for the real.”,Tupac Shakur
“There is no limit to the amount of good you can do if you don't care who gets the credit.”,Ronald Reagan
"“I hate to say it, but shit really does happen. You just have to get over it. Beat the hell out of it by doing things that make you happy.”",J.A. Redmerski
"“You can love a person dear to you with a human love, but an enemy can only be loved with divine love.”",Leo Tolstoy
"“When things do not go your way, remember that every challenge — every adversity — contains within it the seeds of opportunity and growth.”",Roy T. Bennett
“Nothing will work unless you do.”,Maya Angelou
“Some people could look at a mud puddle and see an ocean with ships.”,Zora Neale Hurston
"“Drink your tea slowly and reverently, as if it is the axis on which the world earth revolves - slowly, evenly, without rushing toward the future.”",Thich Nhat Hanh
"“Be a lamp, or a lifeboat, or a ladder. Help someone's soul heal. Walk out of your house like a shepherd.”",Rumi
"“The pure present is an ungraspable advance of the past devouring the future. In truth, all sensation is already memory.”",Henri Bergson
“Pointing to another world will never stop vice among us; shedding light over this world can alone help us.”,Walt Whitman
"“So long as you fight the darkness, you stand in the light.”",Sabaa Tahir
"“You were born to stand out, stop trying to fit in.”",Roy T. Bennett
“Love is too precious to be ashamed of.”,Laurell K. Hamilton
"“When you judge another, you do not define them, you define yourself.”",Wayne W. Dyer
“You will never follow your own inner voice until you clear up the doubts in your mind.”,Roy T. Bennett
"“It is not the failure of others to appreciate your abilities that should trouble you, but rather your failure to appreciate theirs.”",Confucius
“Unconditional Love conquers all!”,Aimee Cabo Nikolov
"“Success is not the key to happiness. Happiness is the key to success. If you love what you are doing, you will be successful.”",Albert Schweitzer
“Your time is way too valuable to be wasting on people that can't accept who you are.”,Turcois Ominek
"“Mr. Franz, I think careers are a 20th century invention and I don't want one.”",Jon Krakauer
"“Things die. But they don't always stay dead. Believe me, I know.”",Richelle Mead
"“Change may not always bring growth, but there is no growth without change.”",Roy T. Bennett
"“We are all worms, But I do believe that I am a glow worm.”",Winston S. Churchill
"“When you have exhausted all possibilities, remember this - you haven't.”",Thomas Edison
“...there ain't no journey what don't change you some.”,David Mitchell
"“Looking at beauty in the world, is the first step of purifying the mind.”",Amit Ray
“Beliefs are choices. First you choose your beliefs. Then your beliefs affect your choices.”,Roy T. Bennett
“She had become accustomed to being lonely. She was used to walking alone and to being considered 'different.' She did not suffer too much.”,Betty Smith
"“I want to thank you, Lord, for life and all that's in it.

Thank you for the day and for the hour, and the minute. ”",Maya Angelou
"“Death, therefore, the most awful of evils, is nothing to us, seeing that, when we are, death is not come, and, when death is come, we are not.”",Epicurus
“Stop feeling sorry for yourself and you will be happy.”,Stephen Fry
"“For the things we have to learn before we can do them, we learn by doing them.”",Aristotle
“Sometimes you can see things happen right in front of your eyes and still jump to the wrong conclusions.”,Jodi Picoult
"“It doesn't matter if a million people tell you what you can't do, or if ten million tell you no. If you get one yes from God that's all you need.”",Tyler Perry
"“Ónen i-estel edain, ú-chebin estel anim.
(I gave Hope to the Dúnedain, I have kept none for myself.)
(Gilraen's linnod)”",J.R.R. Tolkien
“Most people overestimate what they can do in one year and underestimate what they can do in ten years.”,Bill Gates
“He not busy being born is busy dying.”,Bob Dylan
"“We can't choose our fate, but we can choose others. Be careful in knowing that.”",J.K. Rowling
“The tragedy of life is what dies inside a man while he lives.”,Albert Einstein
“Beauty is about being comfortable in your own skin. It's about knowing and accepting who you are.”,Ellen DeGeneres
"“What the caterpillar calls the end of the world, the master calls a butterfly.”",Richard Bach
“Fair means everyone gets what they need. And the only way to get what you need is to make it happen yourself.”,Rick Riordan
"“When you take control of your attitude, you take control of your life.”",Roy T. Bennett
“Let go of something old that no longer serves you in order to make room for something new.”,Roy T. Bennett
“In prayer it is better to have a heart without words than words without a heart. ”,John Bunyan
"“Once you learn to quit, it becomes a habit.”",Vince Lombardi
"“Each person deserves a day away in which no problems are confronted, no solutions searched for.”",Maya Angelou
“Would you rather live one perfect day over and over or live your life with no perfect days but just decent ones?”,Jenny Han
“We forfeit three-fourths of ourselves in order to be like other people.”,Arthur Schopenhauer
